DATE,GFDEGDQ188S,USALORSGPTDSTSAM
1970-01-01,35.38879,28.7241925226221667
1970-04-01,34.67329,28.9368562954078000
1970-07-01,34.86717,29.1503233234718667
1970-10-01,35.74822,29.3656703018488667
1971-01-01,34.50345,29.5836545810160333
1971-04-01,34.36089,29.8046147976887000
1971-07-01,35.00694,30.0285590523979333
1971-10-01,35.63237,30.2552067043009000
1972-01-01,34.72622,30.4839602770362667
1972-04-01,33.67383,30.7138910842556667
1972-07-01,33.62447,30.9438770680978333
1972-10-01,33.74758,31.1728025646881667
1973-01-01,33.29287,31.3996867963222333
1973-04-01,32.34466,31.6238712726778000
1973-07-01,32.12455,31.8452657076168000
1973-10-01,31.77379,32.0644307327683333
1974-01-01,31.76449,32.2824978991392333
1974-04-01,30.99462,32.5010947049679667
1974-07-01,30.86269,32.7221814118387333
1974-10-01,30.79768,32.9478726260609333
1975-01-01,31.53604,33.1801917134003000
1975-04-01,32.27817,33.4207935228919000
1975-07-01,32.38043,33.6706967881148000
1975-10-01,32.73010,33.9302085439381333
1976-01-01,32.98513,34.1990260033618667
1976-04-01,33.49464,34.4763868661202000
1976-07-01,33.64333,34.7612373297939000
1976-10-01,33.78753,35.0522650115717000
1977-01-01,33.65136,35.3478497934893333
1977-04-01,32.80422,35.6460424086881333
1977-07-01,32.98791,35.9446393194159000
1977-10-01,33.21873,36.2413639391602000
1978-01-01,33.50120,36.5339936773629333
1978-04-01,32.12444,36.8203044858148000
1978-07-01,32.21407,37.0981383216609000
1978-10-01,31.86206,37.3657468018321667
1979-01-01,31.53601,37.6220282088090000
1979-04-01,31.06277,37.8666274964646000
1979-07-01,30.98402,38.0999042187742000
1979-10-01,31.02615,38.3228670438485333
1980-01-01,30.94982,38.5371587117935667
1980-04-01,31.37303,38.7450135474620667
1980-07-01,31.77687,38.9490816498799667
1980-10-01,31.15700,39.1520584766872667
1981-01-01,30.87284,39.3565442070630000
1981-04-01,30.70875,39.5652315674110333
1981-07-01,30.60333,39.7810844134685667
1981-10-01,31.35587,40.0072991881859000
1982-01-01,32.41298,40.2472449197444667
1982-04-01,32.40213,40.5041690208274667
1982-07-01,33.92530,40.7808114901245667
1982-10-01,35.18156,41.0791891140055000
1983-01-01,35.82911,41.4003801963474667
1983-04-01,36.87167,41.7443712824130333
1983-07-01,37.33110,42.1101269180621333
1983-10-01,37.17553,42.4958333870632333
1984-01-01,37.45447,42.8991637856961333
1984-04-01,37.72687,43.3175373853926000
1984-07-01,38.49586,43.7483570840501000
1984-10-01,40.08547,44.1891711129192333
1985-01-01,40.44121,44.6377094412236667
1985-04-01,41.31983,45.0918623378563333
1985-07-01,41.55909,45.5496644561967000
1985-10-01,43.78715,46.0093111260562667
1986-01-01,44.07415,46.4692209405108667
1986-04-01,45.30682,46.9280350876173333
1986-07-01,46.12536,47.3845716926084000
1986-10-01,47.55286,47.8377463989441667
1987-01-01,47.57835,48.2865147569664667
1987-04-01,48.04867,48.7297953075941000
1987-07-01,48.11650,49.1664224811342000
1987-10-01,48.55667,49.5951580511320333
1988-01-01,49.03151,50.0147518186971333
1988-04-01,49.08744,50.4240600996700333
1988-07-01,49.25732,50.8220883544480333
1988-10-01,49.71548,51.2080500148207000
1989-01-01,49.73276,51.5814155867253667
1989-04-01,49.88760,51.9420276036446333
1989-07-01,50.17117,52.2902066049626667
1989-10-01,51.38111,52.6268025027140000
1990-01-01,51.96856,52.9531964314422667
1990-04-01,52.74730,53.2712739403465667
1990-07-01,53.75313,53.5834677074802333
1990-10-01,56.03613,53.8927174540083333
1991-01-01,57.41652,54.2022610025168333
1991-04-01,57.74551,54.5152593994152000
1991-07-01,59.06123,54.8345096213404333
1991-10-01,60.68599,55.1623822870624667
1992-01-01,60.99679,55.5007909661341667
1992-04-01,61.57938,55.8511744350965000
1992-07-01,61.89802,56.2146064198257333
1992-10-01,62.52256,56.5919383664562000
1993-01-01,62.86657,56.9839183994792333
1993-04-01,63.91524,57.3912442945031667
1993-07-01,64.10093,57.8144816171097333
1993-10-01,64.66861,58.2539762177124333
1994-01-01,64.30709,58.7098316572886333
1994-04-01,64.10716,59.1820104138833667
1994-07-01,64.01176,59.6704535583723333
1994-10-01,64.38584,60.1751854489949667
1995-01-01,64.66271,60.6963364267335667
1995-04-01,65.31294,61.2341447968320333
1995-07-01,64.73906,61.7888330633585333
1995-10-01,64.18282,62.3604404315623667
1996-01-01,65.04171,62.9487298974923000
1996-04-01,64.24970,63.5531027811952333
1996-07-01,64.25469,64.1725787873997333
1996-10-01,64.44697,64.8059005796433667
1997-01-01,64.34428,65.4515661864403000
1997-04-01,63.10907,66.1077946888640000
1997-07-01,62.48709,66.7724999466059000
1997-10-01,62.77032,67.4434103003104000
1998-01-01,62.50988,68.1181598182349333
1998-04-01,61.85196,68.7942782428381667
1998-07-01,60.58693,69.4691716795523000
1998-10-01,60.40696,70.1401333654279000
1999-01-01,60.04894,70.8044613638484000
1999-04-01,59.19227,71.4596404821822333
1999-07-01,58.39258,72.1034130405788667
1999-10-01,58.34336,72.7338222952000000
2000-01-01,57.72134,73.3493962461275667
2000-04-01,55.48491,73.9493544750271667
2000-07-01,54.99213,74.5336961267727667
2000-10-01,54.2579,75.1033595571166000
2001-01-01,55.14434,75.6601613041631667
2001-04-01,54.03165,76.2066062804043000
2001-07-01,54.79763,76.7456030565147667
2001-10-01,55.75216,77.2802185847208333
2002-01-01,55.6965,77.8133376440006667
2002-04-01,56.27087,78.3474426742463333
2002-07-01,56.7026,78.8845748133543333
